fmid,category_id
1002027,1
1002030,1
1002041,1
1002042,1
1002043,1
1002046,1
1002047,1
1002052,1
1002056,1
1002058,1
1002060,1
1002083,1
1002084,1
1002085,1
1002094,1
1002106,1
1002115,1
1002129,1
1002133,1
1002134,1
1002139,1
1002155,1
1002163,1
1002166,1
1002168,1
1002171,1
1002175,1
1002184,1
1002187,1
1002191,1
1002192,1
1002193,1
1002194,1
1002208,1
1002209,1
1002217,1
1002218,1
1002225,1
1002227,1
1002229,1
1002230,1
1002231,1
1002235,1
1002236,1
1002237,1
1002238,1
1002239,1
1002250,1
1002254,1
1002262,1
1002275,1
1002279,1
1002283,1
1002289,1
1002293,1
1002297,1
1002300,1
1002301,1
1002302,1
1002304,1
1002305,1
1002310,1
1002312,1
1002313,1
1002322,1
1002328,1
1002329,1
1002350,1
1002352,1
1002354,1
1002358,1
1002365,1
1002366,1
1002367,1
1002368,1
1002378,1
1002400,1
1002403,1
1002407,1
1002408,1
1002412,1
1002420,1
1002422,1
1002427,1
1002428,1
1002433,1
1002446,1
1002457,1
1002458,1
1002471,1
1002481,1
1002485,1
1002486,1
1002510,1
1002513,1
1002518,1
1002521,1
1002522,1
1002526,1
1002527,1
1002533,1
1002536,1
1002537,1
1002541,1
1002551,1
1002563,1
1002568,1
1002569,1
1002585,1
1002601,1
1002608,1
1002611,1
1002618,1
1002631,1
1002632,1
1002634,1
1002639,1
1002645,1
1002647,1
1002655,1
1002656,1
1002657,1
1002666,1
1002669,1
1002674,1
1002682,1
1002683,1
1002684,1
1002704,1
1002708,1
1002724,1
1002725,1
1002726,1
1002727,1
1002736,1
1002737,1
1002738,1
1002739,1
1002740,1
1002741,1
1002742,1
1002743,1
1002744,1
1002745,1
1002746,1
1002756,1
1002763,1
1002764,1
1002765,1
1002766,1
1002767,1
1002768,1
1002769,1
1002770,1
1002775,1
1002783,1
1002787,1
1002796,1
1002816,1
1002818,1
1002820,1
1002837,1
1002838,1
1002847,1
1002848,1
1002854,1
1002864,1
1002870,1
1002872,1
1002879,1
1002880,1
1002885,1
1002887,1
1002888,1
1002890,1
1002891,1
1002895,1
1002897,1
1002901,1
1002905,1
1002907,1
1002914,1
1002915,1
1002917,1
1002923,1
1002929,1
1002933,1
1002940,1
1002941,1
1002942,1
1002950,1
1002951,1
1002958,1
1002967,1
1002969,1
1002980,1
1002987,1
1002988,1
1003000,1
1003004,1
1003008,1
1003011,1
1003014,1
1003027,1
1003032,1
1003033,1
1003034,1
1003035,1
1003041,1
1003043,1
1003047,1
1003061,1
1003074,1
1003081,1
1003085,1
1003112,1
1003116,1
1003123,1
1003143,1
1003159,1
1003160,1
1003170,1
1003171,1
1003178,1
1003193,1
1003206,1
1003212,1
1003219,1
1003220,1
1003226,1
1003233,1
1003238,1
1003260,1
1003269,1
1003280,1
1003282,1
1003285,1
1003290,1
1003292,1
1003293,1
1003294,1
1003295,1
1003299,1
1003307,1
1003321,1
1003324,1
1003325,1
1003332,1
1003333,1
1003341,1
1003343,1
1003346,1
1003350,1
1003352,1
1003353,1
1003356,1
1003357,1
1003358,1
1003364,1
1003371,1
1003376,1
1003377,1
1003379,1
1003382,1
1003392,1
1003402,1
1003411,1
1003412,1
1003419,1
1003425,1
1003428,1
1003436,1
1003454,1
1003460,1
1003470,1
1003472,1
1003474,1
1003476,1
1003478,1
1003488,1
1003489,1
1003490,1
1003502,1
1003504,1
1003511,1
1003512,1
1003514,1
1003516,1
1003521,1
1003525,1
1003539,1
1003547,1
1003549,1
1003553,1
1003554,1
1003562,1
1003570,1
1003585,1
1003600,1
1003606,1
1003609,1
1003610,1
1003616,1
1003629,1
1003643,1
1003644,1
1003652,1
1003655,1
1003664,1
1003665,1
1003666,1
1003667,1
1003669,1
1003672,1
1003673,1
1003676,1
1003677,1
1003678,1
1003680,1
1003684,1
1003688,1
1003689,1
1003700,1
1003702,1
1003705,1
1003706,1
1003707,1
1003710,1
1003711,1
1003713,1
1003731,1
1003734,1
1003739,1
1003740,1
1003741,1
1003742,1
1003744,1
1003745,1
1003746,1
1003749,1
1003752,1
1003759,1
1003768,1
1003769,1
1003771,1
1003776,1
1003777,1
1003778,1
1003788,1
1003795,1
1003796,1
1003803,1
1003804,1
1003805,1
1003815,1
1003817,1
1003821,1
1003823,1
1003826,1
1003827,1
1003828,1
1003831,1
1003833,1
1003834,1
1003835,1
1003836,1
1003837,1
1003846,1
1003855,1
1003858,1
1003859,1
1003860,1
1003863,1
1003882,1
1003885,1
1003891,1
1003898,1
1003899,1
1003900,1
1003903,1
1003912,1
1003915,1
1003926,1
1003928,1
1003929,1
1003964,1
1003969,1
1003970,1
1003971,1
1003982,1
1003985,1
1003988,1
1003990,1
1003993,1
1004014,1
1004018,1
1004020,1
1004034,1
1004055,1
1004056,1
1004069,1
1004070,1
1004071,1
1004072,1
1004073,1
1004074,1
1004080,1
1004088,1
1004094,1
1004095,1
1004097,1
1004130,1
1004134,1
1004137,1
1004139,1
1004148,1
1004165,1
1004166,1
1004167,1
1004168,1
1004169,1
1004170,1
1004171,1
1004172,1
1004180,1
1004182,1
1004183,1
1004191,1
1004216,1
1004217,1
1004245,1
1004249,1
1004255,1
1004266,1
1004267,1
1004269,1
1004271,1
1004272,1
1004273,1
1004276,1
1004283,1
1004298,1
1004299,1
1004300,1
1004304,1
1004308,1
1004314,1
1004318,1
1004320,1
1004321,1
1004324,1
1004336,1
1004337,1
1004349,1
1004350,1
1004354,1
1004360,1
1004362,1
1004366,1
1004368,1
1004376,1
1004377,1
1004382,1
1004387,1
1004400,1
1004410,1
1004413,1
1004414,1
1004415,1
1004422,1
1004425,1
1004429,1
1004439,1
1004443,1
1004444,1
1004447,1
1004448,1
1004461,1
1004462,1
1004464,1
1004465,1
1004478,1
1004485,1
1004503,1
1004510,1
1004525,1
1004526,1
1004529,1
1004534,1
1004548,1
1004549,1
1004575,1
1004587,1
1004593,1
1004595,1
1004596,1
1004602,1
1004605,1
1004606,1
1004609,1
1004611,1
1004620,1
1004632,1
1004633,1
1004639,1
1004648,1
1004654,1
1004658,1
1004663,1
1004678,1
1004680,1
1004687,1
1004688,1
1004691,1
1004692,1
1004700,1
1004701,1
1004702,1
1004704,1
1004705,1
1004708,1
1004717,1
1004723,1
1004727,1
1004728,1
1004729,1
1004730,1
1004732,1
1004735,1
1004736,1
1004737,1
1004743,1
1004748,1
1004750,1
1004751,1
1004752,1
1004760,1
1004772,1
1004776,1
1004805,1
1004807,1
